Campus,Building,BuildingName,Address,Latitude,Longitude
SGW,CL,CL Building,1665 Ste-Catherine W,45.494259,-73.579007
SGW,D,D Building,2140 Bishop Street,45.497827,-73.579409
SGW,EN,EN Building,2070 Mackay Street,45.496944,-73.579555
SGW,ER,ER Building,2155 Guy Street,45.496428,-73.579990
