subject,catalog_nbr,class_nbr,day_of_week,start_time,end_time,lab_count,biweekly_lab_freq,lab_duration,tut_count,weekly_tut_freq,tut_duration,lec_section,tut_sections,lab_sections
ELEC,483,U,We,14.45.00,17.30.00,3,1,165,,,,UU,,"UUUI,UUUJ,UUUK"
ELEC,6061,U,We,14.45.00,17.30.00,,,,,,,UU,,
ELEC,6291,W,We,14.45.00,17.30.00,,,,,,,WW,,
ELEC,6391,W,Th,14.45.00,17.30.00,2,1,165,,,,W,,"WI-X,WJ-X"
ELEC,6471,W,We,14.45.00,17.30.00,,,,,,,W,,
ELEC,6651,W,We,14.45.00,17.30.00,,,,,,,W,,
ELEC,6671,W,Fr,14.45.00,17.30.00,,,,,,,WW,,
ELEC,6821,W,Tu,14.45.00,17.30.00,,,,,,,W,,
ELEC,6831,W,We,14.45.00,17.30.00,,,,,,,WW,,
ELEC,6851,W,Th,17.45.00,20.15.00,,,,,,,WW,,
ELEC,691,F,TuTh,10.15.00,11.30.00,,,,,,,FF,,
ENGR,290,N,TuTh,11.45.00,13.00.00,,,,2,1,100,N,"N NX,N NY",
ENGR,290,U,TuTh,14.45.00,16.00.00,,,,2,1,100,U,"U UA,U UB",
